,lever,ball,door,stick
1032,0,0,1,0
1033,0,0,1,0
1034,0,0,1,0
1035,0,0,1,0
1036,0,0,1,0
1037,0,0,1,0
1038,0,0,1,0
1039,0,0,1,0
1040,0,0,1,0
1041,0,0,1,0
1042,0,0,1,0
1043,0,0,1,0
1044,0,0,1,0
1045,0,0,1,0
1046,0,0,1,0
1047,0,0,1,0
1048,0,0,1,0
1049,0,0,1,0
1050,0,0,1,0
1051,0,0,1,0
1052,0,0,1,0
1053,0,0,1,0
1054,0,0,1,0
1055,0,0,1,0
1080,0,0,1,0
1081,0,0,1,0
1082,0,0,1,0
1083,0,0,1,0
1084,0,0,1,0
1085,0,0,1,0
1086,0,0,1,0
1087,0,0,1,0
1088,0,0,1,0
1089,0,0,1,0
1090,0,0,1,0
1091,0,0,1,0
1092,0,0,1,0
1093,0,0,1,0
1094,0,0,1,0
1095,0,0,1,0
1096,0,0,1,0
1097,0,0,1,0
1098,0,0,1,0
1099,0,0,1,0
1100,0,0,1,0
1101,0,0,1,0
1102,0,0,1,0
1103,0,0,1,0
1104,0,0,1,0
1105,0,0,1,0
1106,0,0,1,0
1107,0,0,1,0
1108,0,0,1,0
1109,0,0,1,0
1110,0,0,1,0
1111,0,0,1,0
1112,0,0,1,0
1113,0,0,1,0
1114,0,0,1,0
1115,0,0,1,0
1116,0,0,1,0
1117,0,0,1,0
1136,0,0,1,0
1137,0,0,1,0
1138,0,0,1,0
1139,0,0,1,0
1140,0,0,1,0
1141,0,0,1,0
1142,0,0,1,0
1143,0,0,1,0
1144,0,0,1,0
1145,0,0,1,0
1146,0,0,1,0
1157,0,0,1,0
1158,0,0,1,0
1159,0,0,1,0
1160,0,0,1,0
1161,0,0,1,0
1162,0,0,1,0
1163,0,0,1,0
1164,0,0,1,0
1165,0,0,1,0
1166,0,0,1,0
1167,0,0,1,0
1168,0,0,1,0
1169,0,0,1,0
1170,0,0,1,0
1171,0,0,1,0
1172,0,0,1,0
1173,0,0,1,0
1174,0,0,1,0
1175,0,0,1,0
1176,0,0,1,0
1177,0,0,1,0
1178,0,0,1,0
1179,0,0,1,0
1180,0,0,1,0
1181,0,0,1,0
1182,0,0,1,0
1183,0,0,1,0
1184,0,0,1,0
1185,0,0,1,0
1186,0,0,1,0
1187,0,0,1,0
1188,0,0,1,0
1189,0,0,1,0
1190,0,0,1,0
1191,0,0,1,0
1192,0,0,1,0
1193,0,0,1,0
1194,0,0,1,0
1195,0,0,1,0
1196,0,0,1,0
1197,0,0,1,0
1198,0,0,1,0
1199,0,0,1,0
1200,0,0,1,0
1201,0,0,1,0
1202,0,0,1,0
1203,0,0,1,0
1204,0,0,1,0
1205,0,0,1,0
1206,0,0,1,0
1207,0,0,1,0
1208,0,0,1,0
1239,0,0,1,0
1240,0,0,1,0
1241,0,0,1,0
1242,0,0,1,0
1243,0,0,1,0
1244,0,0,1,0
1245,0,0,1,0
1246,0,0,1,0
1247,0,0,1,0
1248,0,0,1,0
1249,0,0,1,0
1250,0,0,1,0
1251,0,0,1,0
1252,0,0,1,0
1253,0,0,1,0
1254,0,0,1,0
1255,0,0,1,0
1256,0,0,1,0
1257,0,0,1,0
1258,0,0,1,0
1259,0,0,1,0
1260,0,0,1,0
1261,0,0,1,0
1277,0,1,0,0
1278,0,1,0,0
1279,0,1,0,0
1280,0,1,0,0
1281,0,1,0,0
1282,0,1,0,0
1283,0,1,0,0
1284,0,1,0,0
1285,0,1,0,0
1286,0,1,0,0
1287,0,1,0,0
1288,0,1,0,0
1289,0,1,0,0
1290,0,1,0,0
1291,0,1,0,0
1292,0,1,0,0
1293,0,1,0,0
1294,0,1,0,0
1474,0,0,1,0
1475,0,0,1,0
1476,0,0,1,0
1477,0,0,1,0
1478,0,0,1,0
1479,0,0,1,0
1480,0,0,1,0
1481,0,0,1,0
1482,0,0,1,0
1483,0,0,1,0
1484,0,0,1,0
1485,0,0,1,0
1486,0,0,1,0
1487,0,0,1,0
1488,0,0,1,0
1489,0,0,1,0
1490,0,0,1,0
1491,0,0,1,0
1492,0,0,1,0
1493,0,0,1,0
1494,0,0,1,0
1495,0,0,1,0
1496,0,0,1,0
