,lever,ball,door,stick,Cluster
325,0,0,1,0,0
988,0,0,1,0,0
989,0,0,1,0,0
990,0,0,1,0,0
991,0,0,1,0,0
992,0,0,1,0,0
993,0,0,1,0,0
994,0,0,1,0,0
995,0,0,1,0,0
996,0,0,1,0,0
997,0,0,1,0,0
998,0,0,1,0,0
999,0,0,1,0,0
1000,0,0,1,0,0
1001,0,0,1,0,0
1002,0,0,1,0,0
1003,0,0,1,0,0
1004,0,0,1,0,0
1005,0,0,1,0,0
1006,0,0,1,0,0
1007,0,0,1,0,0
1008,0,0,1,0,0
1009,0,0,1,0,0
1010,0,0,1,0,0
1347,0,0,1,0,0
1348,0,0,1,0,0
1349,0,0,1,0,0
1350,0,0,1,0,0
1351,0,0,1,0,0
1352,0,0,1,0,0
1353,0,0,1,0,0
1354,0,0,1,0,0
1355,0,0,1,0,0
1356,0,0,1,0,0
1357,0,0,1,0,0
1358,0,0,1,0,0
1374,0,0,1,0,0
1375,0,0,1,0,0
1376,0,0,1,0,0
1377,0,0,1,0,0
1385,0,0,1,0,0
1386,0,0,1,0,0
1387,0,0,1,0,0
1388,0,0,1,0,0
1389,0,0,1,0,0
1390,0,0,1,0,0
1391,0,0,1,0,0
1392,0,0,1,0,0
1393,0,0,1,0,0
1394,0,0,1,0,0
1403,0,0,1,0,0
1404,0,0,1,0,0
1405,0,0,1,0,0
1406,0,0,1,0,0
1407,0,1,1,0,1
1408,0,1,0,0,1
1409,0,1,0,0,1
1410,0,1,0,0,1
1411,0,1,0,0,1
1412,0,1,0,0,1
1413,0,1,0,0,1
1414,0,1,0,0,1
1415,0,1,0,0,1
1416,0,1,0,0,1
1417,0,1,0,0,1
1418,0,1,0,0,1
1419,0,1,0,0,1
1420,0,1,0,0,1
1421,0,1,0,0,1
1422,0,1,0,0,1
1423,0,1,0,0,1
1424,0,1,0,0,1
1425,0,1,0,0,1
1457,0,1,0,0,1
1458,0,1,0,0,1
1459,0,1,0,0,1
1460,0,1,0,0,1
1461,0,1,0,0,1
1462,0,1,0,0,1
1463,0,1,0,0,1
1464,0,1,0,0,1
1465,0,1,0,0,1
1473,0,1,0,0,1
1998,1,0,0,0,3
1999,1,0,0,0,3
2000,1,0,0,0,3
2001,1,0,0,0,3
2002,1,0,0,0,3
2003,1,0,0,0,3
2004,1,0,0,0,3
2005,1,0,0,0,3
2006,1,0,0,0,3
2007,1,0,0,0,3
2008,1,0,0,0,3
2009,1,0,0,0,3
2010,1,0,0,0,3
2011,1,0,0,0,3
2013,1,0,0,0,3
2014,1,0,0,0,3
2015,1,0,0,0,3
2016,1,0,0,0,3
2017,1,0,0,0,3
2018,1,0,0,0,3
2019,1,0,0,0,3
2020,1,0,0,0,3
2022,1,0,0,0,3
2023,1,0,0,0,3
2024,1,0,0,0,3
2025,1,0,0,0,3
2026,1,0,0,0,3
2027,1,0,0,0,3
2028,1,0,0,0,3
2163,0,0,1,0,0
2164,0,0,1,0,0
2165,0,0,1,0,0
2166,0,0,1,0,0
2167,0,0,1,0,0
2168,0,0,1,0,0
2169,0,0,1,0,0
2170,0,0,1,0,0
2171,0,0,1,0,0
2172,0,0,1,0,0
2173,0,0,1,0,0
2174,0,0,1,0,0
2175,0,0,1,0,0
2176,0,0,1,0,0
2177,0,0,1,0,0
2178,0,0,1,0,0
2179,0,0,1,0,0
2189,0,0,1,0,0
2190,0,0,1,0,0
2191,0,0,1,0,0
2192,0,0,1,0,0
2193,0,0,1,0,0
2194,0,0,1,0,0
2195,0,0,1,0,0
2196,0,0,1,0,0
2197,0,0,1,0,0
2241,0,0,1,0,0
2242,0,0,1,0,0
2243,0,0,1,0,0
2244,0,0,1,0,0
2245,0,0,1,0,0
2246,0,0,1,0,0
2247,0,0,1,0,0
2248,0,0,1,0,0
2249,0,0,1,0,0
2250,0,0,1,0,0
2251,0,0,1,0,0
2252,0,0,1,0,0
2253,0,0,1,0,0
2254,0,0,1,0,0
2255,0,0,1,0,0
2256,0,0,1,0,0
2257,0,0,1,0,0
2258,0,0,1,0,0
2259,0,0,1,0,0
2260,0,0,1,0,0
2261,0,0,1,0,0
2262,0,0,1,0,0
2263,0,0,1,0,0
2264,0,0,1,0,0
2265,0,0,1,0,0
2266,0,0,1,0,0
2267,0,0,1,0,0
2268,0,0,1,0,0
2269,0,0,1,0,0
2270,0,0,1,0,0
2271,0,0,1,0,0
2272,0,0,1,0,0
2273,0,0,1,0,0
2274,0,0,1,0,0
2275,0,0,1,0,0
2276,0,0,1,0,0
2277,0,0,1,0,0
2278,0,0,1,0,0
2279,0,0,1,0,0
2280,0,0,1,0,0
2281,0,0,1,0,0
2282,0,0,1,0,0
2283,0,0,1,0,0
2284,0,0,1,0,0
2285,0,0,1,0,0
2286,0,0,1,0,0
2287,0,0,1,0,0
2288,0,0,1,0,0
2289,0,0,1,0,0
2290,0,0,1,0,0
2291,0,0,1,0,0
2292,0,0,1,0,0
2293,0,0,1,0,0
2294,0,0,1,0,0
2295,0,0,1,0,0
2296,0,0,1,0,0
2297,0,0,1,0,0
2298,0,0,1,0,0
2299,0,0,1,0,0
2300,0,0,1,0,0
2301,0,0,1,0,0
2302,0,0,1,0,0
2303,0,0,1,0,0
2304,0,0,1,0,0
2305,0,0,1,0,0
2306,0,0,1,0,0
2307,0,0,1,0,0
2308,0,0,1,0,0
2309,0,0,1,0,0
2310,0,0,1,0,0
2311,0,0,1,0,0
2312,0,0,1,0,0
2313,0,0,1,0,0
2314,0,0,1,0,0
2315,0,0,1,0,0
2316,0,0,1,0,0
2317,0,0,1,0,0
2318,0,0,1,0,0
2319,0,0,1,0,0
2320,0,0,1,0,0
2321,0,0,1,0,0
2322,0,0,1,0,0
2323,0,0,1,0,0
2324,0,0,1,0,0
2325,0,0,1,0,0
2326,0,0,1,0,0
2327,0,0,1,0,0
2328,0,0,1,0,0
2329,0,0,1,0,0
2330,0,0,1,0,0
2331,0,0,1,0,0
2332,0,0,1,0,0
2333,0,0,1,0,0
2334,0,0,1,0,0
2335,0,0,1,0,0
2336,0,0,1,0,0
2337,0,0,1,0,0
2338,0,0,1,0,0
2339,0,0,1,0,0
2340,0,0,1,0,0
2341,0,0,1,0,0
2342,0,0,1,0,0
2343,0,0,1,0,0
2344,0,0,1,0,0
2345,0,0,1,0,0
2346,0,0,1,0,0
2347,0,0,1,0,0
2348,0,0,1,0,0
2349,0,0,1,0,0
2350,0,0,1,0,0
2351,0,0,1,0,0
2352,0,0,1,0,0
2353,0,0,1,0,0
2354,0,0,1,0,0
2369,0,0,1,0,0
2370,0,0,1,0,0
2371,0,0,1,0,0
2372,0,0,1,0,0
2373,0,0,1,0,0
2374,0,0,1,0,0
2375,0,0,1,0,0
2396,0,0,1,0,0
2397,0,0,1,0,0
2398,0,0,1,0,0
2399,0,0,1,0,0
2400,0,0,1,0,0
2401,0,0,1,0,0
2402,0,0,1,0,0
2403,0,0,1,0,0
2404,0,0,1,0,0
2417,0,0,1,0,0
2418,0,0,1,0,0
2419,0,0,1,0,0
2420,0,0,1,0,0
2421,0,0,1,0,0
2422,0,0,1,0,0
2423,0,0,1,0,0
2424,0,0,1,0,0
2444,0,0,1,0,0
2445,0,0,1,0,0
2446,0,0,1,0,0
2447,0,0,1,0,0
2448,0,0,1,0,0
2453,0,0,1,0,0
2454,0,0,1,0,0
2455,0,0,1,0,0
2456,0,0,1,0,0
2457,0,0,1,0,0
2458,0,0,1,0,0
2479,0,0,1,0,0
2480,0,0,1,0,0
2481,0,0,1,0,0
2482,0,0,1,0,0
2483,0,0,1,0,0
2484,0,0,1,0,0
2485,0,0,1,0,0
2486,0,0,1,0,0
2487,0,0,1,0,0
2488,0,0,1,0,0
2489,0,0,1,0,0
2490,0,0,1,0,0
2491,0,0,1,0,0
2492,0,0,1,0,0
2493,0,0,1,0,0
2494,0,0,1,0,0
2495,0,0,1,0,0
2496,0,0,1,0,0
2497,0,0,1,0,0
2498,0,0,1,0,0
2499,0,0,1,0,0
2541,0,0,1,0,0
2542,0,0,1,0,0
2543,0,0,1,0,0
2544,0,0,1,0,0
2555,0,0,1,0,0
2556,0,0,1,0,0
2557,0,0,1,0,0
2558,0,0,1,0,0
2559,0,0,1,0,0
2560,0,0,1,0,0
2561,0,0,1,0,0
2562,0,0,1,0,0
2563,0,0,1,0,0
2564,0,0,1,0,0
2565,0,0,1,0,0
2566,0,0,1,0,0
2567,0,0,1,0,0
2568,0,0,1,0,0
2569,0,0,1,0,0
2570,0,0,1,0,0
2571,0,0,1,0,0
2572,0,0,1,0,0
2573,0,0,1,0,0
2574,0,0,1,0,0
2575,0,0,1,0,0
2576,0,0,1,0,0
2577,0,0,1,0,0
2578,0,0,1,0,0
2579,0,0,1,0,0
2586,0,0,1,0,0
2587,0,0,1,0,0
2588,0,0,1,0,0
2589,0,0,1,0,0
2590,0,0,1,0,0
2605,0,0,1,0,0
2606,0,0,1,0,0
2607,0,0,1,0,0
2608,0,0,1,0,0
2609,0,0,1,0,0
2610,0,0,1,0,0
2611,0,0,1,0,0
2612,0,0,1,0,0
2613,0,0,1,0,0
2614,0,0,1,0,0
2615,0,0,1,0,0
2616,0,0,1,0,0
2617,0,0,1,0,0
2618,0,0,1,0,0
2619,0,0,1,0,0
2620,0,0,1,0,0
2621,0,0,1,0,0
2622,0,0,1,0,0
2623,0,0,1,0,0
2624,0,0,1,0,0
2625,0,0,1,0,0
2635,0,0,1,0,0
2636,0,0,1,0,0
2637,0,0,1,0,0
2638,0,0,1,0,0
2639,0,0,1,0,0
2640,0,0,1,0,0
2641,0,0,1,0,0
2642,0,0,1,0,0
2643,0,0,1,0,0
2644,0,0,1,0,0
2645,0,0,1,0,0
2646,0,0,1,0,0
2647,0,0,1,0,0
2648,0,0,1,0,0
2649,0,0,1,0,0
2650,0,0,1,0,0
2651,0,0,1,0,0
2652,0,0,1,0,0
2653,0,0,1,0,0
2654,0,0,1,0,0
2655,0,0,1,0,0
2656,0,0,1,0,0
2657,0,0,1,0,0
2658,0,0,1,0,0
2659,0,0,1,0,0
2660,0,0,1,0,0
2661,0,0,1,0,0
2662,0,0,1,0,0
2663,0,0,1,0,0
2664,0,0,1,0,0
2665,0,0,1,0,0
2666,0,0,1,0,0
2667,0,0,1,0,0
2668,0,0,1,0,0
2669,0,0,1,0,0
2670,0,0,1,0,0
2671,0,0,1,0,0
2672,0,0,1,0,0
2673,0,0,1,0,0
2674,0,0,1,0,0
2675,0,0,1,0,0
2676,0,0,1,0,0
2682,0,0,1,0,0
2683,0,0,1,0,0
2684,0,0,1,0,0
2685,0,0,1,0,0
2686,0,0,1,0,0
2687,0,0,1,0,0
2688,0,0,1,0,0
2689,0,0,1,0,0
2690,0,0,1,0,0
2691,0,0,1,0,0
2692,0,0,1,0,0
2693,0,0,1,0,0
2694,0,0,1,0,0
2695,0,0,1,0,0
2696,0,0,1,0,0
2697,0,0,1,0,0
2698,0,0,1,0,0
2699,0,0,1,0,0
2700,0,0,1,0,0
2701,0,0,1,0,0
2702,0,0,1,0,0
2703,0,0,1,0,0
2704,0,0,1,0,0
2705,0,0,1,0,0
2706,0,0,1,0,0
2707,0,0,1,0,0
2708,0,0,1,0,0
2709,0,0,1,0,0
2710,0,0,1,0,0
2711,0,0,1,0,0
2712,0,0,1,0,0
2713,0,0,1,0,0
2714,0,0,1,0,0
2715,0,0,1,0,0
2716,0,0,1,0,0
2717,0,0,1,0,0
2718,0,0,1,0,0
2719,0,0,1,0,0
2720,0,0,1,0,0
2721,0,0,1,0,0
2722,0,0,1,0,0
2723,0,0,1,0,0
2724,0,0,1,0,0
2725,0,0,1,0,0
2726,0,0,1,0,0
2727,0,0,1,0,0
2728,0,0,1,0,0
2729,0,0,1,0,0
2730,0,0,1,0,0
2731,0,0,1,0,0
2732,0,0,1,0,0
2733,0,0,1,0,0
2734,0,0,1,0,0
2735,0,0,1,0,0
2736,0,0,1,0,0
2737,0,0,1,0,0
2738,0,0,1,0,0
2739,0,0,1,0,0
2740,0,0,1,0,0
2741,0,0,1,0,0
2742,0,0,1,0,0
