,lever,ball,door,stick
325,0,0,1,0
988,0,0,2,0
989,0,0,3,0
990,0,0,4,0
991,0,0,5,0
992,0,0,6,0
993,0,0,7,0
994,0,0,8,0
995,0,0,9,0
996,0,0,10,0
997,0,0,11,0
998,0,0,12,0
999,0,0,13,0
1000,0,0,14,0
1001,0,0,15,0
1002,0,0,16,0
1003,0,0,17,0
1004,0,0,18,0
1005,0,0,19,0
1006,0,0,20,0
1007,0,0,21,0
1008,0,0,22,0
1009,0,0,23,0
1010,0,0,24,0
1347,0,0,25,0
1348,0,0,26,0
1349,0,0,27,0
1350,0,0,28,0
1351,0,0,29,0
1352,0,0,30,0
1353,0,0,31,0
1354,0,0,32,0
1355,0,0,33,0
1356,0,0,34,0
1357,0,0,35,0
1358,0,0,36,0
1374,0,0,37,0
1375,0,0,38,0
1376,0,0,39,0
1377,0,0,40,0
1385,0,0,41,0
1386,0,0,42,0
1387,0,0,43,0
1388,0,0,44,0
1389,0,0,45,0
1390,0,0,46,0
1391,0,0,47,0
1392,0,0,48,0
1393,0,0,49,0
1394,0,0,50,0
1403,0,0,51,0
1404,0,0,52,0
1405,0,0,53,0
1406,0,0,54,0
1407,0,1,55,0
1408,0,2,55,0
1409,0,3,55,0
1410,0,4,55,0
1411,0,5,55,0
1412,0,6,55,0
1413,0,7,55,0
1414,0,8,55,0
1415,0,9,55,0
1416,0,10,55,0
1417,0,11,55,0
1418,0,12,55,0
1419,0,13,55,0
1420,0,14,55,0
1421,0,15,55,0
1422,0,16,55,0
1423,0,17,55,0
1424,0,18,55,0
1425,0,19,55,0
1457,0,20,55,0
1458,0,21,55,0
1459,0,22,55,0
1460,0,23,55,0
1461,0,24,55,0
1462,0,25,55,0
1463,0,26,55,0
1464,0,27,55,0
1465,0,28,55,0
1473,0,29,55,0
1998,1,29,55,0
1999,2,29,55,0
2000,3,29,55,0
2001,4,29,55,0
2002,5,29,55,0
2003,6,29,55,0
2004,7,29,55,0
2005,8,29,55,0
2006,9,29,55,0
2007,10,29,55,0
2008,11,29,55,0
2009,12,29,55,0
2010,13,29,55,0
2011,14,29,55,0
2013,15,29,55,0
2014,16,29,55,0
2015,17,29,55,0
2016,18,29,55,0
2017,19,29,55,0
2018,20,29,55,0
2019,21,29,55,0
2020,22,29,55,0
2022,23,29,55,0
2023,24,29,55,0
2024,25,29,55,0
2025,26,29,55,0
