scorer,,,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David
bodyparts,,,nose,nose,eye_left,eye_left,eye_right,eye_right,ear_left,ear_left,ear_right,ear_right,front_paw_left,front_paw_left,front_paw_right,front_paw_right,body_center,body_center,tail_base,tail_base,lever_tip,lever_tip,upper_lever_tip,upper_lever_tip,stick_head,stick_head,ball,ball,sliding_door,sliding_door,sliding_door_top_left,sliding_door_top_left,sliding_door_top_right,sliding_door_top_right,sliding_door_bottom_left,sliding_door_bottom_left,sliding_door_bottom_right,sliding_door_bottom_right,plateau_middle_front,plateau_middle_front,plateau_middle_back,plateau_middle_back,plateau_right_front,plateau_right_front
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,E2_front,img02604.png,636.2609,401.4807943147088,665.3487703,372.64892583706666,631.0079587668035,370.1926215853444,705.1396968849514,306.3346595941724,628.6725579377718,294.66028723582434,,,,,665.4468309,262.55576325036725,,,594.8293893,445.4474267500767,582.9919045826767,119.6798392,329.1962315160659,463.44040357196326,743.9816971995568,444.0269285799278,726.4622198,412.77596883665103,643.7891346468747,394.3393065448993,778.4514704538178,392.78401966894194,663.0287445163782,421.6909545840023,805.7182955864635,419.8458310787856,370.3906784503852,537.3063084197082,358.6395998,403.7940474078202,891.3605037963387,531.7219524819687
labeled-data,E2_front,img03308.png,,,,,,,145.23885451429751,381.7185040103758,85.32049480730353,386.71170065262527,,,,,182.11169125706303,296.8341610921343,265.8437580270931,299.1387133885572,594.8293893,445.4474267500767,582.9919045826767,119.6798392,329.1962315160659,463.44040357196326,743.9816971995568,444.0269285799278,726.4622198,412.77596883665103,643.7891346468747,394.3393065448993,778.4514704538178,392.78401966894194,663.0287445163782,421.6909545840023,805.7182955864635,419.8458310787856,370.3906784503852,537.3063084197082,358.6395998,403.7940474078202,891.3605037963387,531.7219524819687
labeled-data,E2_front,img03576.png,728.2889050980094,390.5153327735462,742.9104833648719,361.9114993103044,,,760.3863748181369,302.5632110207558,694.4222835035441,303.3214189669005,,,,,740.6729682183737,266.6747015699045,,,594.8293893,445.4474267500767,582.9919045826767,119.6798392,329.1962315160659,463.44040357196326,743.9816971995568,444.0269285799278,726.4622198,412.77596883665103,643.7891346468747,394.3393065448993,778.4514704538178,392.78401966894194,663.0287445163782,421.6909545840023,805.7182955864635,419.8458310787856,370.3906784503852,537.3063084197082,358.6395998,403.7940474078202,891.3605037963387,531.7219524819687
labeled-data,E2_front,img03679.png,747.9707931920616,427.0707670184273,779.3431916648615,387.1618912013862,737.1389652183389,379.2260537499034,813.8755145,308.3812458271676,729.9690406206366,305.33010132353627,819.1767725202795,421.6322030893842,777.5964417,422.8697129350472,793.8804244638952,257.5124059971522,,,594.8293893,445.4474267500767,582.9919045826767,119.6798392,,,743.9816971995568,444.0269285799278,726.4622198,412.77596883665103,643.7891346468747,394.3393065448993,,,663.0287445163782,421.6909545840023,805.7182955864635,419.8458310787856,370.3906784503852,537.3063084197082,358.6395998,403.7940474078202,891.3605037963387,531.7219524819687
labeled-data,E2_front,img04146.png,387.3100393597135,501.7367434889716,,,352.0210542381486,464.7435914,332.7689580880086,376.5227353833304,298.5847656910697,411.4751118790769,,,322.29768152331985,532.8124934,223.6850066602745,362.5372504967429,89.67758036301896,486.3434194288095,590.4857541985072,448.9223348584053,569.9609991764443,117.94238511672768,329.1962315160659,463.44040357196326,743.9816971995568,444.0269285799278,726.4622198,412.77596883665103,644.5414101197277,392.8347555991932,776.9469195081116,392.4078819325154,660.0196426249657,421.3148168475757,802.7091937,419.4696933423591,370.3906784503852,537.3063084197082,358.6395998,403.7940474078202,891.3605037963387,531.7219524819687
labeled-data,E2_front,img04162.png,601.5528119016068,421.8942712081081,,,578.9048336682586,395.0671933410199,511.5879277921738,332.4028864887248,548.5208802160464,365.54784379220007,468.97298268770567,504.28316507674674,539.0508924150535,513.7531528777397,445.2980131852233,349.9223639205618,276.7322303275489,458.82722363198064,589.6170272,445.4474267500767,568.2235451,118.81111214380982,,,743.9816971995568,444.0269285799278,726.4622198,412.77596883665103,644.5414101197277,392.8347555991932,776.9469195081116,392.4078819325154,660.0196426249657,421.3148168475757,802.7091937,419.4696933423591,370.3906784503852,537.3063084197082,,,891.3605037963387,531.7219524819687
labeled-data,E2_front,img04211.png,778.29478,421.5811108911732,,,768.4489266972389,387.5456198,707.5287050569746,312.39916664632995,740.8898546873434,333.6289891383828,,,656.5380420858115,448.33900951656346,633.1556237536956,296.04781883499345,510.25513940925066,420.66319365866326,,,569.0922721493621,118.81111214380982,317.0340531369156,463.44040357196326,743.9816971995568,444.0269285799278,,,,,776.9469195081116,392.4078819325154,,,802.7091937,419.4696933423591,370.3906784503852,537.3063084197082,358.6395998,403.7940474078202,891.3605037963387,531.7219524819687
labeled-data,E2_front,img04254.png,,,,,306.8174845418821,371.6177448421315,777.5580687912537,333.36973711060034,817.7501874353782,361.7223169293238,,,,,721.7695809250711,318.1539357529216,551.1303668164551,409.03786500642366,582.6672109547677,448.92233485840535,570.8297262035264,117.94238511672768,321.3776882723264,463.44040357196326,743.9816971995568,444.0269285799278,,,645.6698233290074,394.71544428132586,777.6991949809646,393.16015740536847,660.0196426249657,421.3148168475757,802.7091937,419.4696933423591,370.3906784503852,537.3063084197082,358.6395998,403.7940474078202,891.3605037963387,531.7219524819687
