scorer,,,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David
bodyparts,,,nose,nose,eye_left,eye_left,eye_right,eye_right,ear_left,ear_left,ear_right,ear_right,front_paw_left,front_paw_left,front_paw_right,front_paw_right,body_center,body_center,tail_base,tail_base,lever_tip,lever_tip,upper_lever_tip,upper_lever_tip,stick_head,stick_head,ball,ball,sliding_door,sliding_door,sliding_door_top_left,sliding_door_top_left,sliding_door_top_right,sliding_door_top_right,sliding_door_bottom_left,sliding_door_bottom_left,sliding_door_bottom_right,sliding_door_bottom_right,plateau_middle_front,plateau_middle_front,plateau_middle_back,plateau_middle_back,plateau_right_front,plateau_right_front
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,E2_side,img01407.png,760.8934440644182,343.2137465239599,,,738.6547719703457,310.4070584,696.1977533990514,241.28041995236472,691.3079628255063,261.5918577193985,679.0394536659068,351.16688785800784,,,593.5805973838163,240.2016626090545,418.66176850288525,316.8001040144295,790.1825722520366,374.8890894628682,492.2788865331792,94.15772360373518,729.0553455503549,456.3693305526289,743.1491823966153,359.1218563134317,631.8078713111577,364.0546992096229,,,,,682.9480946,364.5207953074295,692.2786565633058,348.7735211520419,880.2519763712604,479.83012460275546,246.9499736283615,492.861030008988,875.1207963379793,396.1835636271211
labeled-data,E2_side,img02800.png,,,,,,,,,,,,,,,419.8050288223685,272.2129515545843,328.34420326371173,409.4041898925695,790.1825722520366,374.8890894628682,492.2788865331792,94.15772360373518,729.0553455503549,456.3693305526289,743.1491823966153,359.1218563134317,638.1500978919748,362.6453155249969,,,,,696.9672247191286,364.4433500744184,705.7828148,344.96704640824294,880.2519763712604,479.83012460275546,246.9499736283615,492.861030008988,875.1207963379793,396.1835636271211
labeled-data,E2_side,img02825.png,,,,,,,,,531.2729099719816,268.21154043639314,,,,,415.2319875444357,265.92501979742667,320.9130111870709,416.8353819692104,790.1825722520366,374.8890894628682,492.2788865331792,94.15772360373518,729.0553455503549,456.3693305526289,743.1491823966153,359.1218563134317,638.8547897342879,364.0546992096229,,,,,696.9672247191286,364.4433500744184,705.7828148,344.96704640824294,880.2519763712604,479.83012460275546,246.9499736283615,492.861030008988,875.1207963379793,396.1835636271211
labeled-data,E2_side,img02886.png,,,,,,,,,,,,,,,447.8149066497072,270.49806107535954,367.2150541261409,383.1092025444557,790.1825722520366,374.8890894628682,492.2788865331792,94.15772360373518,729.0553455503549,456.3693305526289,743.1491823966153,359.1218563134317,639.5594815766009,363.3500073673099,,,,,696.9672247191286,364.4433500744184,705.7828148,344.96704640824294,880.2519763712604,479.83012460275546,246.9499736283615,492.861030008988,875.1207963379793,396.1835636271211
labeled-data,E2_side,img03368.png,758.7817135,536.3060918969938,,,728.1469337456728,492.82450785122376,656.0936742863564,413.1631061272736,671.1391837434185,448.5200533513694,,,661.0758004297202,553.1971146,557.2896030866242,392.8700897317508,396.4967500365056,539.1708830649059,790.8872640943496,375.5937813051812,492.2788865331792,94.15772360373518,729.0553455503549,456.3693305526289,743.1491823966153,359.1218563134317,638.8547897342879,363.3500073673099,,,,,696.9672247191286,364.4433500744184,705.7828148,344.96704640824294,880.2519763712604,479.83012460275546,246.9499736283615,492.861030008988,875.1207963379793,396.1835636271211
labeled-data,E2_side,img03573.png,407.2708969159179,395.5342536649399,,,383.2498578564608,365.26018787743885,385.6994008987732,298.8260861274035,354.4328504919005,316.7619367484002,320.56956379536155,407.14542932488257,376.1204259557416,411.113348050624,309.7479672706122,277.6469909120486,172.31369140629533,363.49832334172686,790.1825722520366,377.00316498980726,492.2788865331792,94.15772360373518,729.0553455503549,456.3693305526289,743.1491823966153,359.1218563134317,642.3782489,364.0546992096229,,,,,696.9672247191286,364.4433500744184,705.7828148,344.96704640824294,880.2519763712604,479.83012460275546,246.9499736283615,492.861030008988,875.1207963379793,396.1835636271211
labeled-data,E2_side,img03875.png,,,,,,,,,731.5577026823971,238.98172698845056,683.7532550605656,350.24339896376944,723.0753035776814,349.06373750825594,660.7550326193907,201.1946637623109,555.0641065610054,328.5287829,790.1825722520366,377.00316498980726,492.2788865331792,94.15772360373518,729.0553455503549,456.3693305526289,743.1491823966153,359.1218563134317,638.1500978919748,364.0546992096229,,,,,693.8920189,365.8784461340314,,,880.2519763712604,479.83012460275546,246.9499736283615,492.861030008988,875.1207963379793,396.1835636271211
labeled-data,E2_side,img04344.png,533.9665261765283,325.39616984835504,562.0500782846973,296.3826209430746,,,596.6310411,250.01711561800684,,,,,,,683.6451134813542,220.96888461782245,824.6865881872543,328.46341009699944,788.7731885674106,381.9360078859984,492.2788865331792,94.15772360373518,729.0553455503549,456.3693305526289,,,,,,,,,,,,,880.2519763712604,479.83012460275546,246.9499736283615,492.861030008988,875.1207963379793,396.1835636271211
