scorer,,,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David
bodyparts,,,nose,nose,eye_left,eye_left,eye_right,eye_right,ear_left,ear_left,ear_right,ear_right,front_paw_left,front_paw_left,front_paw_right,front_paw_right,body_center,body_center,tail_base,tail_base,lever_tip,lever_tip,upper_lever_tip,upper_lever_tip,stick_head,stick_head,ball,ball,sliding_door,sliding_door,sliding_door_top_left,sliding_door_top_left,sliding_door_top_right,sliding_door_top_right,sliding_door_bottom_left,sliding_door_bottom_left,sliding_door_bottom_right,sliding_door_bottom_right,plateau_middle_front,plateau_middle_front,plateau_middle_back,plateau_middle_back,plateau_right_front,plateau_right_front
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,E2_top,img01433.png,213.878390330958,147.92953715957694,205.76343398062323,158.18829389651597,231.1475672821233,153.1525751443965,204.53889244427955,177.6991866733644,244.2317584626628,162.52250260751197,,,,,237.22713504765403,240.74079852179867,237.8108536655714,344.64271251109614,342.12621391250946,195.2352560540199,325.84439733946226,335.1790137888341,493.6712571650878,220.11508096415173,,,,,292.9224802520629,331.6955456,205.3876263109766,330.6917054834703,294.3278563474473,251.18757208743773,,,471.41396836831177,144.06934424183373,471.8776618849113,489.0573312,182.15483132722872,139.3199928053197
labeled-data,E2_top,img01962.png,493.47960831339327,402.43085568491887,491.13743551505047,425.2573207740821,514.2606338666194,418.37174615383714,491.1447338417236,449.7120637362284,530.2538812421894,441.5400030853848,,,,,527.3352881526026,502.2467438022142,560.0235308,589.8045364898244,342.12621391250946,195.2352560540199,325.84439733946226,335.1790137888341,493.6712571650878,220.11508096415173,250.6477954448739,219.55929025593204,252.18416364248915,299.0663444825202,292.9224802520629,331.6955456,205.3876263109766,330.6917054834703,294.3278563474473,251.18757208743773,206.39146637910832,250.38450003293235,471.41396836831177,144.06934424183373,471.8776618849113,489.0573312,182.15483132722872,139.3199928053197
labeled-data,E2_top,img03258.png,621.3139945441434,525.0117699009928,608.3861026855785,527.9628944257369,624.5603193708445,541.6684148800938,596.7978125916126,533.1838305518364,624.8163062516478,564.7046359193761,,,,,,,,,342.12621391250946,195.2352560540199,325.84439733946226,335.1790137888341,493.6712571650878,220.11508096415173,250.6477954448739,219.55929025593204,252.90375782353183,286.11364922375145,293.52478429294194,322.4602169247901,205.9899303518557,321.4563768566584,294.9301603883264,241.95224346062588,206.99377041998736,241.1491714061205,471.41396836831177,144.06934424183373,471.8776618849113,489.0573312,182.15483132722872,139.3199928053197
labeled-data,E2_top,img03322.png,665.6766095058659,485.3189038826095,648.9715922153147,499.0329010493892,668.2693741,511.6322793203888,626.5674621054001,516.8397092501492,661.0068605625268,543.6907656743497,,,,,,,,,342.12621391250946,195.2352560540199,325.84439733946226,335.1790137888341,493.6712571650878,220.11508096415173,250.6477954448739,219.55929025593204,251.46456946144644,288.99202594792223,293.5247842929419,322.8617529520428,205.9899303518556,321.85791288391107,294.9301603883263,242.3537794878785,206.99377041998733,241.5507074333732,471.41396836831177,144.06934424183373,471.8776618849113,489.0573312,182.15483132722872,139.3199928053197
labeled-data,E2_top,img03679.png,248.90150740600205,192.87586962586195,,,,,209.79236000553607,194.62702547961413,252.98753773142383,214.4734584888058,,,,,204.53889244427955,255.33376174302387,218.5481392742972,338.8055241052123,342.12621391250946,195.2352560540199,325.84439733946226,335.1790137888341,493.6712571650878,220.11508096415173,,,255.0625404,287.5528375858368,293.9263203201946,323.06252096566914,,,295.3316964,242.5545475015049,,,471.41396836831177,144.06934424183373,471.8776618849113,489.0573312,182.15483132722872,139.3199928053197
labeled-data,E2_top,img04895.png,270.4990962689459,308.45215597350744,,,,,240.72944675515845,339.97296134104715,283.34090586312874,352.81477093522994,,,,,247.3777706,397.6792236005533,241.23229776716207,488.3249472598519,345.0045906366803,195.2352560540199,325.84439733946226,335.1790137888341,497.9888222513441,220.11508096415173,250.6477954448739,219.55929025593204,252.18416364248915,286.11364922375145,293.52478429294194,322.0586808975374,205.98993035185563,319.04716069314225,295.73323244283176,242.3537794878785,209.0014505562508,240.74763537886776,471.41396836831177,144.06934424183373,471.8776618849113,489.0573312,182.15483132722872,139.3199928053197
labeled-data,E2_top,img05088.png,160.18887534295862,295.5107384591406,174.2303201957995,302.1942716342461,165.1002725720099,284.0391194628025,192.45260749287849,295.89483050854443,178.6252937143414,252.876520975318,,,,,256.9800747231079,261.32654606220177,335.33485280148466,290.1334497674874,346.4437789987657,195.2352560540199,325.84439733946226,335.1790137888341,497.2692280703013,217.2367042399809,250.6477954448739,219.55929025593204,,,293.52478429294194,322.0586808975374,207.39530644724005,321.85791288391107,,,209.0014505562508,240.74763537886776,471.41396836831177,144.06934424183373,471.8776618849113,489.0573312,182.15483132722872,139.3199928053197
labeled-data,E2_top,img05127.png,203.97537190538247,353.12454586971177,207.9853724,340.25658341845764,189.7762303396116,342.38421594388626,217.41859363451576,322.78127396681094,181.31394099055785,312.4107886329082,,,,,231.62999946245665,257.8697176175674,296.9256478611039,215.2355001337448,345.7241848,194.51566187297723,325.84439733946226,335.1790137888341,497.2692280703013,220.11508096415173,,,,,293.52478429294194,322.0586808975374,,,,,,,471.41396836831177,144.06934424183373,471.8776618849113,489.0573312,182.15483132722872,139.3199928053197
